german,english,part_of_speech,gender,plural,level,frequency_rank
steigt,steigt,adjective,,,B2,1956
stichpunkte,stichpunkte,adjective,,,B2,1957
stockende,stockende,adjective,,,B2,1958
strukturieren,strukturieren,verb,,,B2,1959
studienbeginn,studienbeginn,adjective,,,B2,1960
studienordnung,studienordnung,adjective,,,B2,1961
studierende,studierende,adjective,,,B2,1962
studiums,studiums,adjective,,,B2,1963
städte,städte,adjective,,,B2,1964
syntax,syntax,adjective,,,B2,1965
sätzen,sätzen,verb,,,B2,1966
texten,texten,verb,,,B2,1967
theaterwissenschaft,theaterwissenschaft,adjective,,,B2,1968
themen,themen,verb,,,B2,1969
tourismus,tourismus,adjective,,,B2,1970
transkriptionen,transkriptionen,verb,,,B2,1971
umfang,umfang,adjective,,,B2,1972
umweltfreundlicher,umweltfreundlicher,adjective,,,B2,1973
umzuschalten,umzuschalten,verb,,,B2,1974
unwichtig,unwichtig,adjective,,,B2,1975
verbreitet,verbreitet,adjective,,,B2,1976
verfassen,verfassen,verb,,,B2,1977
vergesse,vergesse,adjective,,,B2,1978
verknüpft,verknüpft,adjective,,,B2,1979
verknüpfung,verknüpfung,adjective,,,B2,1980
verpackungen,verpackungen,verb,,,B2,1981
verringert,verringert,adjective,,,B2,1982
verwendet,verwendet,adjective,,,B2,1983
vorgesetzten,vorgesetzten,verb,,,B2,1984
vorwort,vorwort,adjective,,,B2,1985
wachsende,wachsende,adjective,,,B2,1986
waren,waren,verb,,,B2,1987
weise,weise,adjective,,,B2,1988
weltbevölkerung,weltbevölkerung,adjective,,,B2,1989
wenige,wenige,adjective,,,B2,1990
weniger,weniger,adjective,,,B2,1991
wochen,wochen,verb,,,B2,1992
wohne,wohne,adjective,,,B2,1993
wohngemeinschaft,wohngemeinschaft,adjective,,,B2,1994
wohnungsnot,wohnungsnot,adjective,,,B2,1995
womit,womit,adjective,,,B2,1996
wurden,wurden,verb,,,B2,1997
zeitdruck,zeitdruck,adjective,,,B2,1998
änderte,änderte,adjective,,,B2,1999
ärzte,ärzte,adjective,,,B2,2000
